half hour,demand0,demand1,demand2,demand3,demand4,demand5,demand6,demand7,demand8,demand9,demand10,demand11
303,3.2,0.68,0.46,0.18,2.94,0.62,1.6,0.82,0.22,1.5,0.4,0.44
304,1.32,0.72,0.5,0.08,1.4,1.04,0.32,2.92,0.18,1.42,0.34,0.5
305,0.78,1.36,1.22,0.14,1.36,1.24,0.34,3.88,0.72,0.58,0.44,0.66
306,0.4,1.18,1.08,0.16,0.28,1.9,0.84,3.04,2.14,0.14,0.32,0.52
307,0.18,0.62,0.24,0.18,2.9,1.1,0.76,3.2,2.46,2.5,1.78,2.42
308,0.12,3.28,0.2,0.5,2,0.58,0.2,1.24,1.14,2.66,3.12,1.02
309,0.12,1.08,0.8,0.96,0.74,0.14,0.68,0.68,0.76,0.42,0.64,0.26
310,0.1,0.9,1.08,0.1,0.28,0.1,0.36,0.7,1.22,1.52,1.02,0.16
311,0.08,0.56,1.3,0.94,0.54,0.1,0.5,0.96,1.32,0.64,2.22,0.18
312,0.12,0.58,1.12,0.2,0.22,0.6,2.84,0.44,1.62,0.58,0.92,0.08
313,0.1,1.68,0.2,0.66,0.1,0.3,3.62,0.42,3.94,0.8,2.96,0.08
314,0.1,0.58,0.42,0.44,0.1,0.52,0.62,0.42,1.62,1.58,2.36,0.1
315,0.44,1.8,0.58,0.24,0.08,0.56,0.96,0.46,0.76,0.9,1.66,0.08
316,2.76,1.22,1.56,0.74,0.1,0.58,3.26,0.42,0.68,3.3,0.7,0.1
317,2.26,1.72,0.44,0.84,0.68,0.32,4.84,0.42,2.9,4.46,1.5,0.1
318,2.24,1.1,0.54,0.24,0.82,0.08,5.9,0.44,0.48,1.42,1.68,0.08
319,2.36,1.18,0.46,1.78,0.54,0.08,2,0.4,0.16,1,1.62,0.1
320,1.7,1,0.78,0.6,0.68,0.52,1.5,0.18,1.78,1,1.52,0.52
321,1.58,0.98,1.02,0.58,0.54,4,0.82,0.2,3.8,0.74,1.08,0.74
322,3.78,0.94,4.9,1.7,0.36,4.6,0.56,0.2,1.96,0.76,0.3,4.18
323,3.58,0.92,4,2.28,0.48,4.3,2.7,0.2,2.34,0.58,0.68,3.76
324,2.24,0.84,1.3,0.84,0.2,3.58,3.1,0.18,0.68,0.56,0.58,2.44
325,0.8,5.8,0.5,1.14,2.9,3.1,1.9,0.2,0.3,0.68,0.64,0.98
326,0.6,1.24,0.52,0.5,2.26,1.56,1.24,0.2,0.3,0.94,0.68,0.44
327,0.86,1.08,0.62,0.54,1.18,1.04,0.6,0.16,0.32,0.62,0.6,0.3
328,0.5,2.9,0.48,0.44,1,0.9,0.5,0.2,0.6,0.78,0.66,0.36
329,0.64,3.04,0.44,0.08,0.52,1.84,0.54,0.2,1.92,0.66,2.66,0.32
330,0.62,0.82,0.42,0.12,0.62,0.8,0.26,0.18,1.78,0.62,2.26,0.36
331,0.58,0.82,0.44,0.08,0.12,0.62,0.18,0.2,1.58,0.8,2.5,1.5
332,0.54,0.94,0.44,0.1,0.1,0.84,0.1,0.38,0.32,0.78,1.72,2.68
333,0.22,0.64,0.46,0.38,0.12,0.14,0.08,0.28,0.14,0.74,0.62,2.2
334,0.12,0.38,0.32,0.34,0.12,0.16,0.1,1.52,0.14,0.2,0.44,1.1
335,0.12,0.36,0.34,0.34,0.08,0.1,0.12,1.64,0.16,0.16,0.46,0.2
336,0.12,0.42,0.38,0.22,0.12,0.12,0.12,2.12,0.12,0.14,0.5,0.2
