"Tick","New Column","NetDemand","CurrentPriceSignal","AgentID"
1.0,0.0,0.0,25989.0,Aggregator 1
2.0,112.15975952148438,112.15976,25462.0,Prosumer 237
3.0,128.79129028320312,128.79129,24998.0,Prosumer 237
4.0,122.16136932373047,122.16137,24422.0,Prosumer 237
5.0,140.16029357910156,140.1603,24066.0,Prosumer 237
6.0,137.2989501953125,137.29895,23948.0,Prosumer 237
7.0,137.90040588378906,137.9004,23839.0,Prosumer 237
8.0,132.2788848876953,132.27888,23736.0,Prosumer 237
9.0,134.64175415039062,134.64175,23061.0,Prosumer 237
10.0,164.65878295898438,164.65878,23297.0,Prosumer 237
11.0,79.8193359375,79.819336,23992.0,Prosumer 237
12.0,107.16065979003906,107.16066,26418.0,Prosumer 237
13.0,86.34114837646484,86.34115,29288.0,Prosumer 237
14.0,70.39659118652344,70.39659,32837.0,Prosumer 237
15.0,102.36121368408203,102.36121,35193.0,Prosumer 237
16.0,140.48785400390625,140.48785,36874.0,Prosumer 237
17.0,967.64599609375,967.646,37692.0,Prosumer 237
18.0,518.6101684570312,518.61017,38683.0,Prosumer 237
19.0,103.85792541503906,103.857925,39062.0,Prosumer 237
20.0,91.34891510009766,91.348915,39275.0,Prosumer 237
21.0,78.22499084472656,78.22499,39737.0,Prosumer 237
22.0,237.8626251220703,237.86263,39991.0,Prosumer 237
23.0,222.34124755859375,222.34125,40060.0,Prosumer 237
24.0,193.6575164794922,193.65752,40166.0,Prosumer 237
25.0,171.60252380371094,171.60252,39966.0,Prosumer 237
26.0,220.01727294921875,220.01727,39979.0,Prosumer 237
27.0,242.12750244140625,242.1275,39805.0,Prosumer 237
28.0,278.2652282714844,278.26523,39490.0,Prosumer 237
29.0,125.19224548339844,125.192245,39344.0,Prosumer 237
30.0,167.0727081298828,167.07271,39311.0,Prosumer 237
31.0,192.0928192138672,192.09282,39648.0,Prosumer 237
32.0,801.5258178710938,801.5258,39889.0,Prosumer 237
33.0,716.5115356445312,716.51154,40208.0,Prosumer 237
34.0,571.8102416992188,571.81024,40166.0,Prosumer 237
35.0,286.8119812011719,286.81198,39495.0,Prosumer 237
36.0,208.3456573486328,208.34566,38620.0,Prosumer 237
37.0,226.88580322265625,226.8858,37976.0,Prosumer 237
38.0,310.62884521484375,310.62885,37126.0,Prosumer 237
39.0,229.26217651367188,229.26218,36490.0,Prosumer 237
40.0,174.33726501464844,174.33727,35853.0,Prosumer 237
41.0,166.88064575195312,166.88065,35266.0,Prosumer 237
42.0,135.01190185546875,135.0119,35304.0,Prosumer 237
43.0,225.6847381591797,225.68474,35241.0,Prosumer 237
44.0,341.5177001953125,341.5177,34610.0,Prosumer 237
45.0,334.59710693359375,334.5971,32588.0,Prosumer 237
46.0,257.87713623046875,257.87714,30292.0,Prosumer 237
47.0,150.819091796875,150.81909,28241.0,Prosumer 237
48.0,162.65899658203125,162.659,26759.0,Prosumer 237
49.0,114.07027435302734,114.070274,32115.0,Prosumer 237
50.0,117.87161254882812,117.87161,31447.5,Prosumer 237
51.0,137.9747314453125,137.97473,31126.25,Prosumer 237
52.0,120.1042251586914,120.104225,30457.5,Prosumer 237
53.0,108.9312973022461,108.9313,29928.75,Prosumer 237
54.0,124.34052276611328,124.34052,29691.25,Prosumer 237
55.0,156.6164093017578,156.61641,29743.75,Prosumer 237
56.0,123.78251647949219,123.78252,29530.0,Prosumer 237
57.0,87.36540985107422,87.36541,28841.25,Prosumer 237
58.0,126.45967864990234,126.45968,29231.25,Prosumer 237
59.0,128.0553741455078,128.05537,30335.0,Prosumer 237
60.0,121.37339782714844,121.3734,33421.25,Prosumer 237
61.0,119.648193359375,119.64819,37013.75,Prosumer 237
62.0,116.47386932373047,116.47387,41490.0,Prosumer 237
63.0,121.23872375488281,121.23872,44570.0,Prosumer 237
64.0,148.32969665527344,148.3297,47038.75,Prosumer 237
65.0,125.32723236083984,125.32723,47862.5,Prosumer 237
66.0,109.162841796875,109.16284,49101.25,Prosumer 237
67.0,131.84896850585938,131.84897,49742.5,Prosumer 237
68.0,94.28741455078125,94.287415,50006.25,Prosumer 237
69.0,147.2849578857422,147.28496,50317.5,Prosumer 237
70.0,174.65744018554688,174.65744,50483.75,Prosumer 237
71.0,767.8643188476562,767.8643,50568.75,Prosumer 237
72.0,249.74815368652344,249.74815,50593.75,Prosumer 237
73.0,45.19443893432617,45.19444,50098.75,Prosumer 237
74.0,48.9818115234375,48.98181,49758.75,Prosumer 237
75.0,293.7948913574219,293.7949,49261.25,Prosumer 237
76.0,148.0913848876953,148.09138,49071.25,Prosumer 237
77.0,311.5531921386719,311.5532,48516.25,Prosumer 237
78.0,148.06338500976562,148.06339,48027.5,Prosumer 237
79.0,278.793212890625,278.7932,48040.0,Prosumer 237
