demand
36435.00
36679.00
36347.00
35374.00
34400.00
34010.00
33069.00
31846.00
30770.00
30131.00
29588.00
29388.00
29510.00
29451.00
29039.00
28536.00
28542.00
29417.00
31017.00
32644.00
34435.00
35758.00
37027.00
37893.00
38627.00
38943.00
38846.00
38776.00
38770.00
38624.00
38896.00
39720.00
41673.00
44038.00
45197.00
45102.00
44554.00
43891.00
43035.00
41977.00
41593.00
40778.00
39754.00
38461.00
37060.00
35890.00
34565.00
33744.00
34343.00
34185.00
33642.00
32778.00
32244.00
32308.00
31850.00
31006.00
30130.00
29742.00
29543.00
29588.00
30210.00
30733.00
31226.00
31671.00
32703.00
34580.00
36801.00
38329.00
39614.00
40429.00
41011.00
41331.00
41678.00
41528.00
41343.00
41270.00
41414.00
41375.00
41632.00
42504.00
44958.00
47848.00
49399.00
49451.00
48721.00
47404.00
46450.00
44951.00
43876.00
42517.00
41107.00
39750.00
38418.00
37585.00
36186.00
35069.00
35521.00
35221.00
34547.00
33526.00
32866.00
33006.00
32461.00
31633.00
30739.00
30291.00
29968.00
29739.00
30131.00
30300.00
30362.00
30324.00
31258.00
32896.00
35255.00
37323.00
39430.00
40731.00
41850.00
42513.00
43041.00
43093.00
42808.00
42605.00
42566.00
42286.00
42732.00
43706.00
46268.00
49213.00
50483.00
50216.00
49668.00
48916.00
48210.00
46853.00
46123.00
44885.00
43448.00
41438.00
39842.00
38300.00
36254.00
35194.00
35807.00
35750.00
35389.00
34777.00
34319.00
34658.00
34523.00
33849.00
33392.00
33247.00
33565.00
34443.00
37162.00
39982.00
43394.00
45450.00
46818.00
48197.00
50134.00
51089.00
51504.00
51686.00
51913.00
51912.00
52048.00
51781.00
51534.00
51435.00
51446.00
51165.00
51210.00
52111.00
53972.00
56603.00
57717.00
57352.00
56669.00
55988.00
54978.00
53286.00
51569.00
50284.00
48675.00
46167.00
43824.00
41435.00
38998.00
37385.00
38087.00
38037.00
37797.00
37060.00
36744.00
36968.00
36736.00
36008.00
35390.00
35304.00
35543.00
36539.00
39324.00
42529.00
46340.00
48566.00
49739.00
50053.00
51259.00
51914.00
52230.00
52299.00
52472.00
52711.00
52931.00
52688.00
52370.00
52249.00
52276.00
51959.00
51650.00
52372.00
54465.00
56175.00
57071.00
56520.00
55812.00
55116.00
54115.00
52496.00
51281.00
49229.00
47478.00
45409.00
43201.00
41286.00
38845.00
37421.00
37906.00
37725.00
37574.00
36804.00
36340.00
36608.00
36218.00
35569.00
34968.00
34785.00
34952.00
35733.00
38185.00
40715.00
43724.00
45666.00
47222.00
48121.00
49605.00
50505.00
51039.00
51345.00
51640.00
51972.00
52288.00
52004.00
51620.00
51615.00
51507.00
51230.00
51018.00
51478.00
52940.00
55134.00
56294.00
56080.00
55563.00
54754.00
53558.00
52566.00
50831.00
49073.00
47276.00
44950.00
42966.00
41140.00
39005.00
37552.00
38305.00
38375.00
38296.00
37688.00
37363.00
37675.00
37289.00
36734.00
36189.00
35870.00
36109.00
36772.00
39218.00
41782.00
44764.00
46734.00
48252.00
49518.00
51384.00
52415.00
52965.00
53252.00
53290.00
53524.00
53579.00
53282.00
53030.00
52860.00
52942.00
52589.00
52445.00
52940.00
54460.00
57185.00
58503.00
58123.00
57635.00
56855.00
55652.00
53916.00
52756.00
51385.00
49412.00
46867.00
44737.00
42761.00
40445.00
39033.00
39715.00
39638.00
39454.00
38766.00
38309.00
38580.00
