, Job_ID,Count,W,IDF,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,Electricity_GJ,Overheating_hr,CO2_optimised_kg,CO2_reduction_perc,CO2_reduction_kg,CO2_default_kg,Original_from_Ivan_CO2_reduction_perc,Original_from_Ivan_CO2_reduction_kg,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47
0,CO2_flat_Lon_01-26_0,0.0,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,24.0,24.0,23.0,24.0,26.0,24.0,25.0,25.0,25.0,23.0,23.0,1.212237223,0.7419638270000001,134.69302480000002,-0.11830135300000001,0.159532384,134.8525572,0.11830134199999999,0.159532384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.538142362998675,12.456743910498771,12.452725053781531,12.449977508288308,12.447951117839779,12.446869228144434,12.446247711666086,12.444534402231442,12.44229133354042,12.441190590447382,12.4406636837992,12.440517273587501,12.440584313911444,12.4410032667508,12.441581144126255,12.442894632094458,12.444569356379258,12.446226325289707,12.44785976232601,12.44869708846396,12.449132894914223,12.625235602405915,12.580308423288969,12.582109451889353,12.592529045896164,12.451157954218454,12.450818491418094,0.0,0.0,0.0,0.0,0.0,0.0
1,CO2_flat_Lon_01-26_1,1.0,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,24.0,25.0,24.0,24.0,24.0,23.0,23.0,23.0,24.0,23.0,24.0,1.212451369,0.5063698560000001,134.7168188,-0.100656897,0.13573839099999999,134.8525572,0.10065689,0.13573839099999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.538746162081363,12.45673268536037,12.452716715646767,12.449970692211814,12.447945293261151,12.446864522368793,12.446244014131894,12.444531739770492,12.442289540739141,12.441189454031077,12.440663076536397,12.440517109561215,12.440584530067126,12.480594626748887,12.484701632741059,12.495914360610124,12.505998045359483,12.515368154207005,12.524860466455436,12.448831925732474,12.449157177399343,12.617872952453867,12.576525220978118,12.450635577645079,12.450901436501203,12.450918948483189,12.450770853814078,0.0,0.0,0.0,0.0,0.0,0.0
2,CO2_flat_Lon_01-26_2,2.0,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,24.0,24.0,24.0,25.0,23.0,23.0,23.0,24.0,23.0,24.0,23.0,1.212997918,0.406000982,134.7775465,-0.055624232999999995,0.075010706,134.8525572,0.055624237,0.075010706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5401247597988,12.456746675718199,12.452730514674998,12.449983161374478,12.447956199336057,12.446874878469647,12.446253924006736,12.444541472063339,12.442299059320407,12.44119873884437,12.440672154286727,12.446671614376664,12.456333824967231,12.470074656892947,12.48292161138021,12.494431103770383,12.50474857281427,12.446326247413218,12.44787674453384,12.578766011401207,12.551494327530023,12.449743804662685,12.45002722396539,12.65409405238725,12.598991846972408,12.451159161030175,12.45082378412965,0.0,0.0,0.0,0.0,0.0,0.0
3,CO2_flat_Lon_01-26_3,3.0,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,23.0,23.0,24.0,25.0,23.0,23.0,24.0,24.0,23.0,23.0,23.0,1.213064303,0.322673838,134.78492260000002,-0.050154480999999994,0.06763455,134.8525572,0.050154444000000006,0.06763455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.541181222383385,12.45675596217117,12.452739818430201,12.449991622061756,12.447963611143281,12.44688193414611,12.446260726780897,12.444548174419783,12.442305635507692,12.441205172496279,12.440678461130078,12.44565084814719,12.455154609854391,12.469055270542077,12.481926505266081,12.442966677173338,12.444587486672653,12.446238374059936,12.447871762689337,12.57942097563952,12.55147112244317,12.555556572201196,12.56604263336833,12.576643356264956,12.587197950915982,12.45117202860953,12.450838000755331,0.0,0.0,0.0,0.0,0.0,0.0
4,CO2_flat_Lon_01-26_4,4.0,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.0,24.0,23.0,24.0,26.0,23.0,24.0,23.0,23.0,23.0,24.0,23.0,1.213123073,0.317416979,134.79145259999999,-0.045312155,0.06110455,134.8525572,0.045312118,0.06110455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.541101551654334,12.456751550670077,12.452736040244945,12.449988354867402,12.44796077891288,12.446879422336892,12.446258478538926,12.444546176940197,12.442303868527311,12.44120358020653,12.44067701152429,12.445677602429246,12.455186012273195,12.441038656782244,12.441596849405697,12.514087912800301,12.506510925932853,12.51363306069727,12.523019157485743,12.533115012328759,12.543633464796883,12.449751473743918,12.45003647128741,12.65149812306371,12.597443554038968,12.451165287181281,12.45083113750424,0.0,0.0,0.0,0.0,0.0,0.0
5,CO2_flat_Lon_01-26_5,5.0,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.0,24.0,24.0,23.0,24.0,25.0,23.0,23.0,24.0,24.0,23.0,23.0,1.212872114,0.43739676,134.76356830000003,-0.065989776,0.08898890400000001,134.8525572,0.065989779,0.08898890400000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.540065421256879,12.45674796681597,12.45273148761078,12.449983963536202,12.447956888182873,12.446875436806907,12.446254371384374,12.444541799712535,12.442299280531609,12.441198884401865,12.440672239228176,12.440526035620104,12.440593232857696,12.478463622387993,12.483323073798068,12.494630130130743,12.504906806598752,12.446327225291522,12.447877348038578,12.44870539912809,12.449140985875655,12.61891262848795,12.576482193685264,12.578643745405483,12.589073550226708,12.451161082432758,12.450825831347627,0.0,0.0,0.0,0.0,0.0,0.0
6,CO2_flat_Lon_01-26_6,6.0,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,24.0,23.0,24.0,25.0,23.0,23.0,24.0,23.0,23.0,23.0,23.0,1.213455683,0.129075095,134.8284093,-0.017906891,0.024147889,134.8525572,0.017906883000000002,0.024147889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.542285704605105,12.456760041141425,12.452744796088576,12.449996356777268,12.447967761974368,12.44688617444555,12.44626510092515,12.44455280430788,12.442310459468935,12.441210094909955,12.440683451333198,12.44448969623298,12.45380989086777,12.467893911183312,12.48079316700798,12.442970238249094,12.44459264941132,12.543565190550048,12.526747765030647,12.532415844961214,12.542842605595544,12.55340006335773,12.563974201182232,12.574627927273413,12.585214756885206,12.451177256291281,12.45084525846858,0.0,0.0,0.0,0.0,0.0,0.0
7,CO2_flat_Lon_01-26_7,7.0,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.0,24.0,23.0,24.0,26.0,23.0,24.0,23.0,24.0,23.0,24.0,23.0,1.212850588,0.480705108,134.7611764,-0.067763491,0.091380755,134.8525572,0.067763457,0.091380755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.539751072906427,12.45674651938763,12.45272981245942,12.449982387827584,12.447955505764686,12.446874054165031,12.446252980738628,12.444540344046183,12.442297775841698,12.441197360764559,12.440670704055336,12.447113465613212,12.456841660659983,12.441034267541452,12.441590444045897,12.516230308118287,12.507793196300165,12.446328498359707,12.447877465212486,12.580000779242223,12.552272124960165,12.4497447937417,12.45002717073131,12.655346722107195,12.599758989502076,12.451159478478845,12.450823121422877,0.0,0.0,0.0,0.0,0.0,0.0
8,CO2_flat_Lon_01-26_8,8.0,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.0,24.0,23.0,24.0,26.0,23.0,23.0,23.0,23.0,23.0,24.0,23.0,1.2132628970000001,0.247570929,134.8069885,-0.033791498999999996,0.04556861,134.8525572,0.033791432,0.04556861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.541457954974495,12.456751613601082,12.452736610981606,12.449988997120983,12.447961350366151,12.446880122682225,12.446259305812921,12.444547173796872,12.442305006693596,12.441204807549976,12.440678307178024,12.44527512949173,12.454721008213145,12.468681358337387,12.481562365094687,12.49313495449807,12.503615939202168,12.512968551628193,12.522379731559942,12.532487108741883,12.542999243459246,12.449750332250302,12.450036375532457,12.650351371203739,12.596740101231648,12.451164892813237,12.450831652694326,0.0,0.0,0.0,0.0,0.0,0.0
9,CO2_flat_Lon_01-26_9,9.0,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.0,24.0,23.0,24.0,26.0,24.0,23.0,24.0,23.0,23.0,23.0,23.0,1.2134240109999999,0.144135754,134.82489009999998,-0.020516556000000002,0.027667095,134.8525572,0.020516552,0.027667095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.542233379657151,12.456760115075193,12.452744784540897,12.449996325997322,12.447967734364289,12.446886120894233,12.446265022701699,12.444552696544248,12.44231032672288,12.441209945679283,12.440683289318514,12.4405370614187,12.440604213364697,12.475056999589324,12.481094880399953,12.442970990082852,12.444593119644326,12.543749761416338,12.526869593057564,12.532520186213809,12.542948553290682,12.553506758802214,12.564081540327502,12.574735840103537,12.585323166596522,12.451177455065196,12.450845292175842,0.0,0.0,0.0,0.0,0.0,0.0
