, Job_ID,W,IDF,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,Electricity_GJ,Overheating_hr,CO2_optimised_kg,CO2_reduction_perc,CO2_reduction_kg,CO2_default_kg,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47
0,CO2_1_Lon_01-26_0,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,25.0,23.0,23.0,24.0,24.0,25.0,24.0,25.0,24.0,24.0,23.0,1.21155771,1.082795369,131.2288265,-0.17439149,0.229251701,131.45807820000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.536424364750001,12.456727940005555,12.452708832841667,12.44996269896111,12.447938225691667,12.446857165666668,12.446235630016666,12.444522297016666,12.442279450341667,12.441178897347223,12.440652163161111,12.440505911905555,12.440573114205556,12.440992213566666,12.44157022798611,12.442883814761112,12.44455863266389,12.446215712705555,12.447849275069444,12.448686774525001,12.449122769063889,12.449549475727778,12.449970959897222,12.669803557644444,12.624108446083332,12.451136011016667,12.450793790933334,0.0,0.0,0.0,0.0,0.0,0.0
1,CO2_1_Lon_01-26_1,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,25.0,23.0,23.0,24.0,24.0,25.0,25.0,25.0,25.0,25.0,23.0,1.21155771,1.082795369,131.2288265,-0.17439149,0.229251701,131.45807820000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.536424364750001,12.456727940005555,12.452708832841667,12.44996269896111,12.447938225691667,12.446857165666668,12.446235630016666,12.444522297016666,12.442279450341667,12.441178897347223,12.440652163161111,12.440505911905555,12.440573114205556,12.440992213566666,12.44157022798611,12.442883814761112,12.44455863266389,12.446215712705555,12.447849275069444,12.448686774525001,12.449122769063889,12.449549475727778,12.449970959897222,12.669803557644444,12.624108446083332,12.451136011016667,12.450793790933334,0.0,0.0,0.0,0.0,0.0,0.0
2,CO2_1_Lon_01-26_2,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.0,25.0,23.0,23.0,23.0,24.0,23.0,25.0,25.0,25.0,25.0,23.0,1.2118671490000001,0.946711828,131.2626885,-0.148632703,0.195389695,131.45807820000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5366987125,12.456727456733333,12.452708909727779,12.449962900697223,12.447938389980555,12.446857432472223,12.446236120202778,12.444523016641666,12.442280332138889,12.441179892108334,12.440653245405557,12.440507064827777,12.440574324102778,12.484402681494442,12.487138552883334,12.442950470880556,12.444564172322222,12.4462142098,12.447847658572222,12.44868533885,12.449121750258334,12.449548843552778,12.449970681180556,12.667587457972223,12.622954650591668,12.451135094988889,12.450794179505555,0.0,0.0,0.0,0.0,0.0,0.0
3,CO2_1_Lon_01-26_3,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,25.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,23.0,1.21193452,0.91325094,131.2701783,-0.142935239,0.187899919,131.45807820000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.536824788805555,12.456727516458333,12.452709178561111,12.44996319835,12.447938650547222,12.446857717091667,12.446236481269445,12.444523456277778,12.442280824241667,12.441180420419444,12.440653801594445,12.451422081955554,12.460418456408332,12.473826757508334,12.486561641469445,12.442949117458333,12.444563448222222,12.44621367058889,12.447847246611111,12.448685060691666,12.449121599441668,12.449548807422222,12.449970747736112,12.666922234669444,12.62260140283611,12.451134948791667,12.450794424875,0.0,0.0,0.0,0.0,0.0,0.0
4,CO2_1_Lon_01-26_4,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,25.0,23.0,23.0,26.0,23.0,25.0,24.0,25.0,24.0,24.0,23.0,1.211667577,1.0319276659999999,131.2409768,-0.165148767,0.217101395,131.45807820000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.536568944833334,12.456727885736111,12.452709046322223,12.449962960530556,12.447938454811112,12.446857432605556,12.446235993933334,12.444522763325,12.442279986925,12.441179482469444,12.440652785791666,12.451989053444445,12.460807208938888,12.441021713302778,12.441572751886111,12.442882832194444,12.444557638277779,12.446214777288889,12.447848510341666,12.448686199952778,12.449122380752778,12.449549256016667,12.449970891594445,12.668904075758334,12.623634274319445,12.451135690891666,12.450794007822223,0.0,0.0,0.0,0.0,0.0,0.0
5,CO2_1_Lon_01-26_5,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,25.0,23.0,23.0,23.0,24.0,23.0,24.0,23.0,23.0,24.0,23.0,1.2130130590000001,0.386986678,131.38647340000003,-0.054469711,0.071604835,131.45807820000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.540260695555556,12.45674912308611,12.452732757252779,12.449985146602778,12.447957930558333,12.446876465683333,12.446255395925,12.444542850977777,12.442300349275,12.44119995591389,12.440673310697223,12.440527105622223,12.44059429925,12.478128948358336,12.483105433324999,12.442964164494445,12.444583521775,12.546756234575001,12.528805199358333,12.534284806311112,12.54478129628889,12.449749143383334,12.450032677116667,12.653540919052778,12.598693780044444,12.451162984141666,12.450827523744445,0.0,0.0,0.0,0.0,0.0,0.0
6,CO2_1_Lon_01-26_6,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,25.0,24.0,23.0,25.0,24.0,24.0,23.0,24.0,24.0,24.0,23.0,1.2120527140000001,0.85982049,131.2831442,-0.13307212599999999,0.17493406,131.45807820000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.537341761694444,12.456732765566667,12.452714448088889,12.449968012575,12.447942865969445,12.446861649738889,12.446240377025001,12.444527320180557,12.442284591505556,12.441184108552777,12.440657421283333,12.440511202308334,12.440578420075001,12.4409975287,12.441575549194445,12.520893618883333,12.510518911833334,12.446321621561111,12.447866276811112,12.448693303955556,12.449128683325,12.449555153133334,12.449976732680556,12.664794250994445,12.621505032055556,12.451138776116666,12.450799001194445,0.0,0.0,0.0,0.0,0.0,0.0
7,CO2_1_Lon_01-26_7,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,25.0,23.0,23.0,23.0,25.0,25.0,25.0,23.0,23.0,23.0,23.0,1.213191154,0.251122045,131.4050418,-0.040344763,0.05303645,131.45807820000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.541676093166666,12.456759982308334,12.45274388208611,12.449995320366666,12.44796684351111,12.446885030658333,12.446263735086111,12.444551154575,12.442308573144444,12.441208057497223,12.440681298066666,12.440534987213889,12.440602073113888,12.441021053780556,12.441598947011112,12.442912472475001,12.444587222758333,12.546050341574999,12.528098332186111,12.533509119469445,12.543941042427779,12.554498534750001,12.565074476855553,12.575730976894446,12.586320857049998,12.451177978236112,12.450844434191668,0.0,0.0,0.0,0.0,0.0,0.0
8,CO2_1_Lon_01-26_8,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,25.0,23.0,23.0,23.0,24.0,25.0,23.0,23.0,24.0,23.0,23.0,1.213139228,0.303715575,131.4004446,-0.043841833,0.05763363,131.45807820000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.54134284175,12.45675480696389,12.452739096455556,12.449991076002778,12.447963147752779,12.446881621352778,12.446260547936111,12.444548148577779,12.442305743047223,12.441205371925001,12.440678733347223,12.440532526741666,12.440599707336112,12.441018770383334,12.441596739008334,12.514147266827777,12.506466799394447,12.51356582432778,12.522938758219443,12.448844205116666,12.4491719125,12.613890676597222,12.573990031866668,12.576600816811112,12.587077400833333,12.451169950427778,12.450836356222222,0.0,0.0,0.0,0.0,0.0,0.0
9,CO2_1_Lon_01-26_9,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,25.0,23.0,23.0,25.0,23.0,25.0,25.0,24.0,24.0,24.0,23.0,1.211667577,1.0319276659999999,131.2409768,-0.165148767,0.217101395,131.45807820000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.536568944833334,12.456727885736111,12.452709046322223,12.449962960530556,12.447938454811112,12.446857432605556,12.446235993933334,12.444522763325,12.442279986925,12.441179482469444,12.440652785791666,12.451989053444445,12.460807208938888,12.441021713302778,12.441572751886111,12.442882832194444,12.444557638277779,12.446214777288889,12.447848510341666,12.448686199952778,12.449122380752778,12.449549256016667,12.449970891594445,12.668904075758334,12.623634274319445,12.451135690891666,12.450794007822223,0.0,0.0,0.0,0.0,0.0,0.0
