, Job_ID,Count,W,IDF,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,Electricity_GJ,Overheating_hr,CO2_optimised_kg,CO2_reduction_perc,CO2_reduction_kg,CO2_default_kg,original_from_Ivan_CO2_reduction_perc,original_from_Ivan_CO2_reduction_kg,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47
0,CO2_2_Fin_01-26_0,0.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,24.0,23.0,25.0,23.0,23.0,24.0,24.0,24.0,25.0,24.0,24.0,1.180160283,1.3203583840000002,120.5503873,-0.276786164,0.334592918,120.88498020000002,0.27678618,0.334592918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.252685271192812,12.14469482595344,12.144681632056063,12.141297580446302,12.136431552028796,12.135260475605701,12.135902878905902,12.136150211745655,12.136167056010171,12.133479395661817,12.129549784441947,12.126859107787645,12.13496948535371,12.123837655581138,12.123354633498701,12.125153052679797,12.128131698945145,12.131084399715782,12.133996751338925,12.13839435532998,12.143489245133047,12.144070265149221,12.142483245207965,12.144953144526424,12.149370485695815,12.152036167839224,12.153816530343741,0.0,0.0,0.0,0.0,0.0,0.0
1,CO2_2_Fin_01-26_1,1.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,24.0,23.0,25.0,23.0,23.0,25.0,23.0,25.0,25.0,25.0,25.0,1.180858912,1.0310841579999999,120.6247361,-0.215282411,0.260244148,120.88498020000002,0.215282451,0.260244148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.253083139212766,12.144696437393977,12.144684814215069,12.141300855255563,12.136434998415668,12.135264521348603,12.13590725929878,12.136154964826549,12.136172149172568,12.133484737159582,12.129555319073907,12.126864790114077,12.13290168701127,12.123841351275786,12.12336071204621,12.236566929325916,12.212360012571757,12.131161871209512,12.133991764593612,12.138383918866332,12.143479839602005,12.144063039698683,12.142478464356369,12.144949895899561,12.149368460674859,12.152035473638854,12.153817084698574,0.0,0.0,0.0,0.0,0.0,0.0
2,CO2_2_Fin_01-26_2,2.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.0,24.0,23.0,25.0,24.0,23.0,24.0,24.0,24.0,24.0,24.0,23.0,1.1811945990000001,0.984957967,120.6589131,-0.187010082,0.226067115,120.88498020000002,0.18701009300000002,0.226067115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.253504636518382,12.144734111436412,12.14471849403514,12.141329337322373,12.136458687727718,12.13528550305857,12.1359262322556,12.13617199174252,12.136187566159775,12.133498317030735,12.129567172679455,12.126875382811615,12.131977570778412,12.123849103076925,12.123368877552204,12.125167505992978,12.12814592074999,12.131098355611583,12.134010385461542,12.13840775758906,12.143502405517072,12.144082828114632,12.142495155908897,12.317002087312877,12.266081026344116,12.152260695026417,12.15390373964506,0.0,0.0,0.0,0.0,0.0,0.0
3,CO2_2_Fin_01-26_3,3.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.0,24.0,24.0,25.0,24.0,23.0,23.0,24.0,24.0,24.0,24.0,23.0,1.181536249,0.8323031879999999,120.6950375,-0.157126799,0.189942721,120.88498020000002,0.157126817,0.189942721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.253706625777948,12.144733409235322,12.14471879039654,12.14132989162505,12.136459525211126,12.135286789046042,12.135927783316351,12.136173692958884,12.136189572943994,12.133500593846097,12.129569626685912,12.126877969045658,12.130828950955959,12.158490441846778,12.188821037256394,12.125224040139717,12.128137492127111,12.131085473684491,12.133998675043287,12.138397039587181,12.143492889627074,12.144075184297298,12.142489379200573,12.314328290046232,12.264514924175847,12.152254995985686,12.153900634570947,0.0,0.0,0.0,0.0,0.0,0.0
4,CO2_2_Fin_01-26_4,4.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,24.0,24.0,25.0,24.0,23.0,25.0,23.0,25.0,23.0,25.0,25.0,1.18155814,0.746472452,120.698177,-0.154529702,0.18680323699999998,120.88498020000002,0.154529733,0.18680323699999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.253587075255872,12.144712033974885,12.144700237272339,12.141314387721152,12.136446861984748,12.135275904144674,12.135918176825156,12.136165231633484,12.136182229223227,12.133494428161512,12.129564528328578,12.126873650691195,12.130641670906796,12.123847083088718,12.123368844283137,12.23330919620663,12.210185631612818,12.13116858722138,12.134000382234303,12.254763920016684,12.228049544755072,12.144205367104242,12.142525056721793,12.14498530106688,12.14940082545434,12.152064683851588,12.153843498272243,0.0,0.0,0.0,0.0,0.0,0.0
5,CO2_2_Fin_01-26_5,5.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.0,24.0,24.0,25.0,23.0,23.0,24.0,23.0,24.0,24.0,23.0,23.0,1.182380695,0.45921826200000004,120.78428670000001,-0.08329694900000001,0.100693489,120.88498020000002,0.083296939,0.100693489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.254383749992922,12.144752642872813,12.144737919587499,12.141346689773092,12.136474281802176,12.135301021566796,12.135941469771188,12.136186674566593,12.136202253464218,12.133512820332589,12.129581275671644,12.126889203737502,12.12793185409289,12.123857784024962,12.123382046299987,12.229397101522226,12.207554821670636,12.131179349030216,12.134013327299959,12.13840553071156,12.143501057389061,12.272218346595796,12.246619787884825,12.247759896031225,12.251733864317472,12.152285132623,12.15393206247984,0.0,0.0,0.0,0.0,0.0,0.0
6,CO2_2_Fin_01-26_6,6.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,23.0,24.0,25.0,24.0,23.0,23.0,24.0,24.0,23.0,23.0,23.0,1.182579935,0.35685624,120.8045807,-0.06650909,0.080399575,120.88498020000002,0.066509152,0.080399575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.254593998222065,12.144761744237346,12.14474648607561,12.141354068407258,12.13648059795984,12.135306886866745,12.135946960108793,12.136191773077918,12.136207066388232,12.133517295801958,12.12958540328052,12.126893080606798,12.127161284977497,12.156403558250512,12.185456996497713,12.125235714423242,12.128152450561403,12.131100519047218,12.134013462059178,12.252168434826007,12.226189411403038,12.229612816344627,12.240036345244686,12.246493554561143,12.250567072427412,12.152301606778629,12.153947682064585,0.0,0.0,0.0,0.0,0.0,0.0
7,CO2_2_Fin_01-26_7,7.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,25.0,23.0,24.0,24.0,23.0,23.0,23.0,25.0,23.0,25.0,25.0,1.181764493,0.643331303,120.7199047,-0.13655584,0.165075513,120.88498020000002,0.13655585,0.165075513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.253726464582767,12.14471151086873,12.144700396079337,12.141314726096605,12.13644739760574,12.135276751026494,12.135919206521837,12.136166368002288,12.13618357257929,12.133495955000049,12.129566177360532,12.126875391386193,12.129865962228807,12.157942297284409,12.187943541526403,12.200042870314244,12.20556340003093,12.131156778952363,12.133991163665987,12.252984435319146,12.227040828803897,12.144197394540297,12.14251980132741,12.1449811436988,12.149397393100548,12.152062050094125,12.153841618290198,0.0,0.0,0.0,0.0,0.0,0.0
8,CO2_2_Fin_01-26_8,8.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,26.0,25.0,25.0,25.0,23.0,23.0,25.0,25.0,25.0,25.0,23.0,1.181536249,0.8323031879999999,120.6950375,-0.157126799,0.189942721,120.88498020000002,0.157126817,0.189942721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.253706625777948,12.144733409235322,12.14471879039654,12.14132989162505,12.136459525211126,12.135286789046042,12.135927783316351,12.136173692958884,12.136189572943994,12.133500593846097,12.129569626685912,12.126877969045658,12.130828950955959,12.158490441846778,12.188821037256394,12.125224040139717,12.128137492127111,12.131085473684491,12.133998675043287,12.138397039587181,12.143492889627074,12.144075184297298,12.142489379200573,12.314328290046232,12.264514924175847,12.152254995985686,12.153900634570947,0.0,0.0,0.0,0.0,0.0,0.0
9,CO2_2_Fin_01-26_9,9.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,23.0,23.0,25.0,23.0,23.0,24.0,24.0,24.0,23.0,23.0,23.0,1.182274433,0.492906987,120.7722664,-0.09324053300000001,0.112713836,120.88498020000002,0.09324056300000001,0.112713836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.254400727115256,12.144762853480884,12.144746592673423,12.141353883453606,12.136480090531219,12.135305912091177,12.135945712132719,12.136190349827565,12.136205349142255,12.133515314567916,12.129583236296998,12.126890776088198,12.12822058720744,12.1238591491006,12.123382881851683,12.125182236986074,12.128160529619494,12.131112827141436,12.13402465116768,12.254725528538952,12.227664518974604,12.230759753708046,12.241266770946213,12.24774269959847,12.251822265105696,12.152307904328278,12.153951526402208,0.0,0.0,0.0,0.0,0.0,0.0
