, Job_ID,Count,W,IDF,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,Electricity_GJ,Overheating_hr,CO2_optimised_kg,CO2_reduction_perc,CO2_reduction_kg,CO2_default_kg,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47
0,CO2_1_Leu_01-26_0,0.0,0.0,0.0,Leuchars.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,25.0,25.0,25.0,1.089643427,11.47777184,118.02478090000001,-2.6318303469999997,3.190171913,121.21495279999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.236757565964682,11.22347029060441,11.22371053323102,11.327622264354579,11.338056080212585,11.21795837678335,11.217417253615334,11.215303214718327,11.212510098037118,11.209884205152017,11.207384671997096,11.202973053725573,11.197739926260061,11.19620894464192,11.196469481489569,11.193538560993362,11.20456916733865,11.2217059583578,11.23915299845667,11.176906384815865,11.178864156115843,11.175133613410093,11.168650421642113,11.168436953847602,11.171370055020407,11.175826290776556,11.181109310249544,0.0,0.0,0.0,0.0,0.0,0.0
1,CO2_1_Leu_01-26_1,1.0,0.0,0.0,Leuchars.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,1.091873973,10.44212501,118.26463490000002,-2.4339553730000003,2.9503178560000003,121.21495279999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.236984450814022,11.223195042397943,11.223478323254884,11.320555623077205,11.333382865713507,11.217816367672794,11.217298415424159,11.215204622038753,11.212428861667046,11.209816829537244,11.207328479743458,11.202927410348495,11.197703252813511,11.196177426326745,11.196441522573009,11.193515248323225,11.199991450484532,11.217011123185259,11.234949852656847,11.248264959129658,11.25894875675713,11.273948886064098,11.291344432239985,11.301279326218486,11.311746242860496,11.175680954159889,11.18090501563218,0.0,0.0,0.0,0.0,0.0,0.0
2,CO2_1_Leu_01-26_2,2.0,0.0,0.0,Leuchars.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,25.0,24.0,25.0,25.0,25.0,1.090655654,10.91642506,118.13262639999999,-2.542859846,3.0823263610000002,121.21495279999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.236972385163572,11.22348178319754,11.223720792555135,11.32542562325501,11.336608359210945,11.357031593686601,11.37553532140365,11.215467899764116,11.212597748425624,11.209947811554168,11.20743745295783,11.203016860855573,11.19777637299902,11.196241238519656,11.19649894975984,11.193564240016155,11.189113189717071,11.226190290667033,11.236865920446606,11.176923317383535,11.178881621693266,11.175148979254105,11.168663149595345,11.168449061742551,11.171382357367142,11.175839043719028,11.181122515135797,0.0,0.0,0.0,0.0,0.0,0.0
3,CO2_1_Leu_01-26_3,3.0,0.0,0.0,Leuchars.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,24.0,24.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,25.0,25.0,1.1038976809999999,5.274731155,119.57842839999999,-1.350101099,1.636524409,121.21495279999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.240287340606354,11.222967492909234,11.223289439809145,11.221470216692046,11.21874845351327,11.217558540893002,11.217121188334731,11.539068062795272,11.442943957976995,11.421122776231632,11.443897419837631,11.467655120696998,11.490361994556443,11.513677431397138,11.539713220000767,11.594508571331907,11.658435729941363,11.728898153263392,11.805309496113004,11.17662064841756,11.215944343246427,11.174762098925115,11.168346604595353,11.168150239441,11.17107731335245,11.175519734739925,11.180789059785848,0.0,0.0,0.0,0.0,0.0,0.0
4,CO2_1_Leu_01-26_4,4.0,0.0,0.0,Leuchars.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.0,24.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,25.0,25.0,25.0,1.104184682,4.896935419,119.60870349999999,-1.325124672,1.606249246,121.21495279999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.24055271773225,11.222996847674404,11.223314654504547,11.221491290885423,11.218765794312525,11.40655140047248,11.388515243982521,11.375133170441515,11.396061818390235,11.41854328171541,11.441345615758907,11.465141272995368,11.487859002866982,11.511178939877508,11.535512114528464,11.5909351958294,11.654316729678275,11.724742964509348,11.801097198689243,11.17664012679484,11.17849720428993,11.174775575132047,11.168368422892389,11.168172735992675,11.171100227033627,11.175543700666362,11.180814014882985,0.0,0.0,0.0,0.0,0.0,0.0
5,CO2_1_Leu_01-26_5,5.0,0.0,0.0,Leuchars.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,23.0,23.0,24.0,24.0,24.0,25.0,25.0,24.0,24.0,24.0,24.0,1.092820713,9.910664448,118.3654993,-2.350744162,2.849453426,121.21495279999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.237201315646331,11.22321115434091,11.223492465365766,11.318577639066413,11.332082532017703,11.352234297387612,11.370495153197377,11.215363302020663,11.212512627200905,11.209877226486325,11.20737866249872,11.202969075490522,11.197737924621464,11.19620815297419,11.19646956475775,11.193539687023923,11.189093306489308,11.220117255694161,11.232696536192504,11.245988508490552,11.25675879664947,11.271852506574886,11.289455366023189,11.29951310565997,11.30986612474065,11.175695732438012,11.18092118248641,0.0,0.0,0.0,0.0,0.0,0.0
6,CO2_1_Leu_01-26_6,6.0,0.0,0.0,Leuchars.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,22.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,1.110598065,2.6981023960000003,120.29862150000001,-0.755955612,0.916331239,121.21495279999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.24278805456216,11.222471741434756,11.740643268264648,11.221478526303338,11.293010233841091,11.322667534611252,11.343888745983486,11.362032627122764,11.38251284906836,11.404583420791827,11.426981787700127,11.450342324769728,11.472643129427844,11.495610594748038,11.515670479004825,11.563537146957263,11.627670223124465,11.697666515126166,11.773405531165686,11.815957542216013,11.839652317754886,11.174672969538056,11.232592484984266,11.25229624184369,11.268982674004592,11.175241103516205,11.180462423490573,0.0,0.0,0.0,0.0,0.0,0.0
7,CO2_1_Leu_01-26_7,7.0,0.0,0.0,Leuchars.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,25.0,24.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,25.0,1.1131624070000001,2.017918653,120.572923,-0.529662185,0.642029767,121.21495279999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.242507153721993,11.221962523442421,11.222435422110294,11.220759271199242,11.218163618665374,11.217066226894412,11.216702751338014,11.505353702776533,11.427432552252402,11.407774097861063,11.430099684343633,11.453397857480013,11.475670048939065,11.498610422535986,11.518638594138793,11.568806142531049,11.63229594861277,11.702285753931841,11.778055111335142,11.820546917264673,11.844135016532455,11.905311675493369,11.99057988434798,11.16774295380629,11.170477248644639,11.174867380611666,11.180101862867268,0.0,0.0,0.0,0.0,0.0,0.0
8,CO2_1_Leu_01-26_8,8.0,0.0,0.0,Leuchars.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,23.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,25.0,25.0,1.094021117,9.176391257,118.49498359999998,-2.2439221540000003,2.7199691789999996,121.21495279999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.237790494243027,11.223450899401389,11.223696448431827,11.317116889544053,11.331132712092982,11.351182336900441,11.369353290040694,11.388616945435608,11.410166220625737,11.433265540964634,11.456631246187511,11.203154881757103,11.19782267862662,11.196270698336278,11.19652555991978,11.1935880991722,11.192187920953993,11.210791898113406,11.227813994146732,11.241343069286614,11.252308682361186,11.175156535047492,11.168650856868618,11.168436042282668,11.171368880575127,11.175824657919305,11.181107316395986,0.0,0.0,0.0,0.0,0.0,0.0
9,CO2_1_Leu_01-26_9,9.0,0.0,0.0,Leuchars.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.0,23.0,23.0,23.0,23.0,24.0,24.0,25.0,24.0,24.0,24.0,25.0,1.094693543,8.83883099,118.5673166,-2.184248829,2.647636187,121.21495279999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.238019624112772,11.22335890183435,11.22361882524123,11.314999453160578,11.32973598944693,11.349699229740194,11.36779148263944,11.386985456156939,11.40846801186652,11.431503290052492,11.454808790570887,11.203136076384618,11.1978078723174,11.196257996472562,11.196514247699247,11.193578600910248,11.189126923091875,11.211149071809682,11.226553271987093,11.240092282755334,11.25109570254022,11.26640018817917,11.284317527095912,11.16841567931992,11.17130867575005,11.175758428123352,11.181038100262713,0.0,0.0,0.0,0.0,0.0,0.0
10,CO2_1_Leu_01-26_10,10.0,0.0,0.0,Leuchars.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,23.0,23.0,23.0,1.116913721,0.8553576409999999,120.9713486,-0.20096874399999998,0.243604168,121.21495279999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.248990756025167,11.221790452855549,11.222294145323527,11.268659415429584,11.296766671230486,11.314645933159646,11.33038158723143,11.347400221261855,11.366805025558222,11.387938996525175,11.409494564813315,11.432031110444898,11.453563401574153,11.47585946995746,11.495376801094913,11.526086636222546,11.589978827202918,11.183404854892345,11.177391321093944,12.460194989191134,11.862000600941052,11.872245388306398,11.95519259150146,11.98916090440285,12.011101085168633,11.175005895956065,11.180049749327846,0.0,0.0,0.0,0.0,0.0,0.0
